epoch,train_loss,val_loss,test_loss,train_acc_aspect,val_acc_aspect,test_acc_aspect,train_acc_sent,val_acc_sent,test_acc_sent,val_f1_aspect,test_f1_aspect,val_f1_sent,test_f1_sent
1,2.0731934997448445,1.4294429597720293,1.4377164085146408,0.4782579787596381,0.6149732620320856,0.6122222222222222,0.8345174773123489,0.910204991087344,0.912,0.35891541132997956,0.36125820045346374,0.8451107355135244,0.8307850920061348
2,1.2520867223797598,1.1980027455679128,1.1786044760489127,0.6541983282312434,0.6673351158645277,0.6675555555555556,0.9321618542120449,0.9233511586452763,0.9253333333333333,0.4760922555717606,0.4692708286284269,0.8666411315959612,0.8589300811389462
3,0.9561583082726661,1.116368079689187,1.095860242004126,0.722900835938729,0.6838235294117647,0.6853333333333333,0.958719604826988,0.9249108734402852,0.9271111111111111,0.535874635466956,0.5230645542223529,0.8669745389798645,0.8583037193054629
4,0.7475656339825105,1.0995164211367217,1.0724612340121202,0.7795972644739237,0.7032085561497327,0.7048888888888889,0.9735942249240122,0.9264705882352942,0.928,0.550700703358815,0.5403691248278845,0.8801368121463483,0.8715091088006622
5,0.5906257132991106,1.1530210619241419,1.130628230706067,0.8259403495440729,0.7063279857397504,0.7068888888888889,0.9809080547112462,0.9315953654188949,0.9297777777777778,0.5542023141191122,0.5459494806788873,0.8886269741625155,0.8744811286852828
