epoch,train_loss,val_loss,train_acc_aspect,val_acc_aspect,train_acc_sent,val_acc_sent
1,2.5504810786247254,2.2684316635131836,0.35655133932828903,0.38632812516556847,0.7504129463434219,0.8259114589956071
2,2.1979576325416565,2.1615055004755654,0.4028515625,0.435546875,0.8257756695151329,0.8352430562178293
3,1.9684830075502395,1.8498691585328844,0.4731640625,0.5189236104488373,0.840870535671711,0.8516927080021964
4,1.7911393916606904,1.8371581666999393,0.5314285713434219,0.5207899312178293,0.8517745536565781,0.8523871534400516
5,1.6706528013944626,1.650962832901213,0.5664508929848671,0.5842447910043929,0.8601897320151329,0.8621093746688631
6,1.5746857404708863,1.7024383280012343,0.5896149554848671,0.5927083326710595,0.8701785713434219,0.8472656243377261
7,1.501915300488472,1.8578575783305697,0.6082924106717109,0.5576822923289405,0.879213169515133,0.8675347218910853
8,1.4334552377462386,1.550148371193144,0.6241350445151329,0.6140624996688631,0.8826841518282891,0.8609374993377261
9,1.3746940779685974,1.6146214803059895,0.6352399554848671,0.5809027784400516,0.8904631695151329,0.8743923604488373
10,1.3229023680090903,1.576459013753467,0.647762276828289,0.6189670132266151,0.8957533481717109,0.8657118048932817
11,1.2774868077039718,1.5254021618101332,0.6550948661565781,0.6333767357799742,0.9008203125,0.8698350687821707
12,1.2339104852080345,1.5372707545757294,0.665362723171711,0.6203993062178293,0.905301339328289,0.8730034728844961
13,1.1929964870214462,1.532902220884959,0.6749274554848671,0.6184461812178293,0.9074553570151329,0.8770833330021964
14,1.1481532990932464,1.5724398559994168,0.686378348171711,0.6157986107799742,0.914112723171711,0.8667100701067183
15,1.1103716278076172,1.6031128002537622,0.6944977679848671,0.6328559021155039,0.915848214328289,0.8842447913355298
16,1.073364098072052,1.5214823616875544,0.7002287945151329,0.6355468746688631,0.9229296875,0.8801215274466409
17,1.0460586974024773,1.5203341609901853,0.7106417411565781,0.6363281243377261,0.923219866156578,0.8809027771155039
18,1.0060966679453849,1.727534896797604,0.7185546875,0.6470486107799742,0.927985491156578,0.8705729163355298
19,0.9766354569792748,1.5880508853329554,0.7238058036565781,0.6424045132266151,0.929737723171711,0.8842447913355298
