epoch,train_loss,val_loss,test_loss,train_acc_aspect,val_acc_aspect,test_acc_aspect,train_acc_sent,val_acc_sent,test_acc_sent,val_f1_aspect,test_f1_aspect,val_f1_sent,test_f1_sent
1,2.5416361129645146,2.407931003305647,2.3828151093588934,0.35813446966084567,0.35628342245989303,0.3537777777777778,0.765842802958055,0.7914438502673797,0.8082222222222222,0.12291039056308069,0.12464759041910473,0.5875997527364852,0.5897380618786362
2,2.2203455831065324,2.1585079862011805,2.13611767689387,0.4085984849568569,0.4376114081996435,0.42044444444444445,0.8236174243869203,0.8068181818181818,0.822,0.17353212279540345,0.1623405180459732,0.6733488366683108,0.6780035811504986
3,2.0082130699446705,1.9717400322357814,1.961870123942693,0.46256628795103594,0.4859625668449198,0.494,0.8400662880955321,0.8268716577540107,0.8395555555555556,0.2082845702420311,0.215522167577097,0.683796428070623,0.6879859657603754
4,1.860707493984338,1.9691537651750777,1.9390823278162215,0.5051325758298238,0.49910873440285203,0.5008888888888889,0.8501420454545454,0.8157308377896613,0.8177777777777778,0.23626050816019198,0.2415471169701701,0.7346405548990788,0.72169426183265
5,1.751824088530107,1.97931969165802,1.9433194630675845,0.5347064393939394,0.49532085561497324,0.5006666666666667,0.8612973484126004,0.8375668449197861,0.8466666666666667,0.2695428784814491,0.27301142625457336,0.6954124769772673,0.6981405612057334
6,1.6631668242541227,1.9634495940473344,1.9356887936592102,0.5586268941561381,0.5392156862745098,0.5497777777777778,0.8712689396106835,0.8313279857397504,0.8426666666666667,0.2899101439763339,0.3023584921407611,0.6912804671230751,0.6907726249003153
7,1.5824588573340215,1.8390806913375854,1.7853507101535797,0.58237689408389,0.5459001782531194,0.5557777777777778,0.877660985065229,0.8482620320855615,0.8582222222222222,0.3215405539108958,0.315734073427368,0.7305728915110464,0.725757107730938
8,1.516289524598555,1.9856502778000302,1.9789533846908145,0.599535985065229,0.5450089126559715,0.5455555555555556,0.8791287880955321,0.8404634581105169,0.8477777777777777,0.33017371403578893,0.3173123002748666,0.7069795304919694,0.70555470306797
9,1.4493085145950317,1.6958724061648052,1.6681606670220692,0.6129924243146723,0.5741978609625669,0.5924444444444444,0.8862784093076532,0.8511586452762924,0.8524444444444444,0.37013199352639375,0.377722195668129,0.7517235596207597,0.729583571136493
10,1.3785190864042802,1.6779361897044711,1.6205499900711908,0.6285321968974489,0.5851158645276292,0.5953333333333334,0.8928693182540662,0.8444741532976827,0.8462222222222222,0.39121541487593614,0.3912521851572073,0.7776466119572287,0.7649914427532315
11,1.3178720987204349,1.6392757760153875,1.6079197029272716,0.6446496212121212,0.5953654188948306,0.6133333333333333,0.8979924241701762,0.8587344028520499,0.862,0.39055561739607536,0.3999454620911746,0.7645332956426053,0.7540317386449612
12,1.2617501508105884,1.9573428812954161,1.9466476440429688,0.657471591053587,0.5951426024955436,0.5991111111111111,0.9018655303752784,0.8121657754010695,0.8184444444444444,0.3874552583256195,0.39218701973326797,0.6845928789757075,0.6771992229745111
13,1.2198432911526074,1.6531512174341414,1.6157735751734839,0.6680587121934601,0.5969251336898396,0.612,0.9067518938671458,0.8638591800356507,0.8637777777777778,0.4128118603074014,0.4145313372532653,0.7671109188114943,0.7487464714703823
14,1.1680257389039703,1.642328765657213,1.606653521458308,0.6825852274894715,0.589572192513369,0.5997777777777777,0.9079924243869204,0.8656417112299465,0.8653333333333333,0.41445521319397843,0.41600692520316546,0.7856046668625515,0.7642113600224004
15,1.1333381641994824,1.8952370948261685,1.8444301651583777,0.6894318183263143,0.5314171122994652,0.5411111111111111,0.9136458335500774,0.8663101604278075,0.8697777777777778,0.4107880899466038,0.4085429222784014,0.7692312546906943,0.7559872760466138
16,1.0910196990677805,1.7608502672778235,1.724181804392073,0.6994886365803805,0.5995989304812834,0.6164444444444445,0.9165814396106835,0.8643048128342246,0.8715555555555555,0.41248263973718785,0.4275821803139346,0.7659033310571642,0.758455898229101
17,1.0458259091232762,1.6754592259724934,1.622701409790251,0.7092329545454545,0.6109625668449198,0.6166666666666667,0.9207859848484848,0.8638591800356507,0.8728888888888889,0.43777269144988695,0.44120253139885396,0.7650639597179424,0.7608385733365243
18,1.0114413185553117,1.6292506059010823,1.5590309533807967,0.7142897728717689,0.5877896613190731,0.6013333333333334,0.9254261363636364,0.8634135472370766,0.8686666666666667,0.44646144214881334,0.4516195725372716,0.7885140827203864,0.7809835868933744
19,0.983464366016966,1.7276119689146678,1.6988455951213837,0.7230871211398732,0.60650623885918,0.6264444444444445,0.92794507597432,0.8694295900178253,0.8706666666666667,0.4260649763759792,0.43120298222817727,0.8006648095832755,0.7897826931650056
20,0.9501113411152001,1.6619201368755765,1.6022022200955286,0.7292803031025511,0.6165329768270945,0.6244444444444445,0.9314488638531078,0.8622994652406417,0.8731111111111111,0.4379299591785424,0.44192878607994485,0.7953613203701518,0.7978962842863543
21,0.9195173592278452,1.8656113578213587,1.794553690486484,0.7374905304475264,0.6285650623885918,0.6353333333333333,0.9350473487015927,0.8629679144385026,0.8706666666666667,0.4389131848673071,0.4436778786196605,0.7826520898821935,0.7785703299179142
22,0.8877102580937473,1.8257222407393985,1.7707833117908902,0.7520738637808597,0.5998217468805704,0.6102222222222222,0.9370738636363637,0.8776737967914439,0.8771111111111111,0.43882620416341417,0.4442890544650915,0.7986263599184048,0.780498392289271
23,0.8574542753624194,1.72065951095687,1.6403274072541132,0.7584659092354052,0.6223262032085561,0.6448888888888888,0.9387878790046229,0.8703208556149733,0.8746666666666667,0.4548390261258259,0.4755427507010954,0.8042294058855273,0.791755977176536
24,0.8383797273491368,1.7239730987283919,1.6332750055525038,0.7589488636363636,0.6087344028520499,0.618,0.9407670454545455,0.8654188948306596,0.8733333333333333,0.4524084744762393,0.4581578523230292,0.7905161237387545,0.7892716627887258
25,0.8076489022283843,2.0896070334646435,1.9603322313891516,0.771562500072248,0.6022727272727273,0.6091111111111112,0.9432575756853278,0.8028074866310161,0.8217777777777778,0.43658387867591103,0.4411172222639083,0.7386756895701589,0.7490388499356592
26,0.7887996890328147,1.7504990796248119,1.7231604754924774,0.7739299243146723,0.6225490196078431,0.6288888888888889,0.9447253787156308,0.8700980392156863,0.8735555555555555,0.4518574413133181,0.4556983635309604,0.7890644966618597,0.7769722415679018
27,0.7659975485368209,1.7447832723458607,1.7111859718958538,0.781098484992981,0.6330213903743316,0.6444444444444445,0.9467424244591685,0.8707664884135472,0.8766666666666667,0.4601322317821744,0.46783738058293856,0.7993920525675643,0.7929619057056797
28,0.7377817789713542,1.9286171164777544,1.8615228997336493,0.7884375001444961,0.6267825311942959,0.6342222222222222,0.9498579545454545,0.8585115864527629,0.8711111111111111,0.4544497708435298,0.45498140458214165,0.7773183855242753,0.7775743369535487
